"code","symbol","rate","description","rate_float","currency"
"USD","&#36;","9,248.7138","United States Dollar",9248.7138,"USD"
"GBP","&pound;","6,645.2101","British Pound Sterling",6645.2101,"GBP"
"EUR","&euro;","7,638.2630","Euro",7638.263,"EUR"
